item_id,dom_col_hex,gender,age
215524,#ed7576,Female,Young
215492,#c3cdcf,Female,Young
213949,#feffff,Female,Young
212843,#8dabb3,Female,Young
215491,#ff4a2c,Female,Young
215709,#ffffff,Female,Young
215246,#d4c4b5,Female,Young
215209,#dde1e2,Female,Young
213650,#202020,Male,Young
212834,#fbfbfb,Female,Young
212613,#dde5e8,Female,Young
214048,#e9e7e8,Female,Young
213524,#d5d5d5,Female,Young
212945,#dde1e2,Female,Young
213483,#f1f4fb,Female,Young
214475,#d8d8d8,Female,Young
212398,#2b2a30,Male,Young
214447,#dcdcdc,Female,Young
212222,#c5c2b8,Female,Young
213262,#feffff,Female,Young
216468,#161618,Male,Young
213307,#ffffff,Female,Young
213449,#c5c2bb,Female,Young
213919,#feffff,Female,Young
212218,#feffff,Female,Young
213884,#ffffff,Female,Young
215953,#2e6ba4,Female,Young
212219,#feffff,Female,Young
215210,#feffff,Female,Young
212524,#f7f7f7,Female,Young
215713,#fffffe,Female,Young
212684,#010102,Male,Young
215699,#2f2f2f,Male,Young
216019,#0e273d,Male,Young
213361,#000000,Male,Young
216392,#fbfbfb,Female,Young
211826,#fefefe,Female,Young
215881,#fefefe,Female,Young
216393,#d4c4b5,Female,Young
214219,#000001,Male,Young
215885,#d4c4b5,Female,Young
213239,#fffffd,Female,Young
215700,#dcdbe0,Female,Young
211821,#fefefe,Female,Young
213005,#feffff,Female,Young
211363,#1d1e20,Male,Young
